Designator,Mid X,Mid Y,Rotation,Layer
C1,227.62,-114.83875,180.0,top
C2,204.0,-74.0,270.0,top
C3,203.98,-80.95,180.0,top
C4,213.97,-114.66875,180.0,top
C5,198.8425,-114.72375,180.0,top
C6,240.92,-114.82,180.0,top
C8,207.99,-79.96,90.0,top
C9,206.98,-74.54,0.0,top
D1,208.09,-84.2,0.0,top
D2,227.5975,-110.69,180.0,top
D3,214.3575,-111.5,180.0,top
D4,240.79,-112.0,180.0,top
D5,208.07,-82.59,0.0,top
D6,199.0,-110.91,180.0,top
D7,207.94,-86.05,0.0,top
J1,235.59,-92.93,180.0,top
J3,204.3,-87.75,270.0,top
J4,235.5,-81.5,0.0,top
J7,239.65,-87.77,180.0,top
J8,214.8,-97.59,90.0,top
Q1,193.2225,-112.13375,90.0,top
Q2,222.01,-112.17875,90.0,top
Q3,208.72,-112.52875,90.0,top
Q4,235.33,-112.22,90.0,top
R1,207.88,-76.96,270.0,top
R2,230.85,-93.4,180.0,top
R3,215.53,-93.88,270.0,top
R4,194.7525,-109.16375,180.0,top
R5,223.49,-109.21875,180.0,top
R6,209.85,-109.52875,180.0,top
R7,236.81,-109.19,180.0,top
R8,228.19,-93.57,270.0,top
R9,213.91,-93.91,90.0,top
SW2,231.09,-97.96,90.0,top
SW3,197.86,-96.46,90.0,top
U1,221.0,-78.5,0.0,top
U2,198.6025,-82.1825,180.0,bottom
U3,204.49,-77.93,180.0,top
